slide_id,slide_path,target,embedding_path,patch_feats_path,coords_path
104S,/bulk/rapae/BMED6460/wsi_project/training_data/wsitils/images/104S.tif,70.0,../tiger_titan_embeddings_fused_text/104S.npy,../tiger_titan_embeddings_fused_text/104S_patch_feats.npy,../tiger_titan_embeddings_fused_text/104S_coords.npy
105S,/bulk/rapae/BMED6460/wsi_project/training_data/wsitils/images/105S.tif,10.0,../tiger_titan_embeddings_fused_text/105S.npy,../tiger_titan_embeddings_fused_text/105S_patch_feats.npy,../tiger_titan_embeddings_fused_text/105S_coords.npy
106S,/bulk/rapae/BMED6460/wsi_project/training_data/wsitils/images/106S.tif,10.0,../tiger_titan_embeddings_fused_text/106S.npy,../tiger_titan_embeddings_fused_text/106S_patch_feats.npy,../tiger_titan_embeddings_fused_text/106S_coords.npy
107S,/bulk/rapae/BMED6460/wsi_project/training_data/wsitils/images/107S.tif,5.0,../tiger_titan_embeddings_fused_text/107S.npy,../tiger_titan_embeddings_fused_text/107S_patch_feats.npy,../tiger_titan_embeddings_fused_text/107S_coords.npy
108S,/bulk/rapae/BMED6460/wsi_project/training_data/wsitils/images/108S.tif,30.0,../tiger_titan_embeddings_fused_text/108S.npy,../tiger_titan_embeddings_fused_text/108S_patch_feats.npy,../tiger_titan_embeddings_fused_text/108S_coords.npy
110S,/bulk/rapae/BMED6460/wsi_project/training_data/wsitils/images/110S.tif,1.0,../tiger_titan_embeddings_fused_text/110S.npy,../tiger_titan_embeddings_fused_text/110S_patch_feats.npy,../tiger_titan_embeddings_fused_text/110S_coords.npy
112B,/bulk/rapae/BMED6460/wsi_project/training_data/wsitils/images/112B.tif,1.0,../tiger_titan_embeddings_fused_text/112B.npy,../tiger_titan_embeddings_fused_text/112B_patch_feats.npy,../tiger_titan_embeddings_fused_text/112B_coords.npy
121S,/bulk/rapae/BMED6460/wsi_project/training_data/wsitils/images/121S.tif,5.0,../tiger_titan_embeddings_fused_text/121S.npy,../tiger_titan_embeddings_fused_text/121S_patch_feats.npy,../tiger_titan_embeddings_fused_text/121S_coords.npy
123S,/bulk/rapae/BMED6460/wsi_project/training_data/wsitils/images/123S.tif,60.0,../tiger_titan_embeddings_fused_text/123S.npy,../tiger_titan_embeddings_fused_text/123S_patch_feats.npy,../tiger_titan_embeddings_fused_text/123S_coords.npy
126B,/bulk/rapae/BMED6460/wsi_project/training_data/wsitils/images/126B.tif,10.0,../tiger_titan_embeddings_fused_text/126B.npy,../tiger_titan_embeddings_fused_text/126B_patch_feats.npy,../tiger_titan_embeddings_fused_text/126B_coords.npy
129S,/bulk/rapae/BMED6460/wsi_project/training_data/wsitils/images/129S.tif,40.0,../tiger_titan_embeddings_fused_text/129S.npy,../tiger_titan_embeddings_fused_text/129S_patch_feats.npy,../tiger_titan_embeddings_fused_text/129S_coords.npy
132B,/bulk/rapae/BMED6460/wsi_project/training_data/wsitils/images/132B.tif,1.0,../tiger_titan_embeddings_fused_text/132B.npy,../tiger_titan_embeddings_fused_text/132B_patch_feats.npy,../tiger_titan_embeddings_fused_text/132B_coords.npy
139B,/bulk/rapae/BMED6460/wsi_project/training_data/wsitils/images/139B.tif,40.0,../tiger_titan_embeddings_fused_text/139B.npy,../tiger_titan_embeddings_fused_text/139B_patch_feats.npy,../tiger_titan_embeddings_fused_text/139B_coords.npy
