slide_id,slide_path,target,embedding_path,patch_feats_path,coords_path
TC_S01_P000101_C0001_B101,/bulk/rapae/BMED6460/wsi_project/training_data/wsitils/images/TC_S01_P000101_C0001_B101.tif,20.0,../tiger_titan_embeddings_fused_text/TC_S01_P000101_C0001_B101.npy,../tiger_titan_embeddings_fused_text/TC_S01_P000101_C0001_B101_patch_feats.npy,../tiger_titan_embeddings_fused_text/TC_S01_P000101_C0001_B101_coords.npy
TC_S01_P000087_C0001_B101,/bulk/rapae/BMED6460/wsi_project/training_data/wsitils/images/TC_S01_P000087_C0001_B101.tif,1.0,../tiger_titan_embeddings_fused_text/TC_S01_P000087_C0001_B101.npy,../tiger_titan_embeddings_fused_text/TC_S01_P000087_C0001_B101_patch_feats.npy,../tiger_titan_embeddings_fused_text/TC_S01_P000087_C0001_B101_coords.npy
TC_S01_P000041_C0001_B101,/bulk/rapae/BMED6460/wsi_project/training_data/wsitils/images/TC_S01_P000041_C0001_B101.tif,5.0,../tiger_titan_embeddings_fused_text/TC_S01_P000041_C0001_B101.npy,../tiger_titan_embeddings_fused_text/TC_S01_P000041_C0001_B101_patch_feats.npy,../tiger_titan_embeddings_fused_text/TC_S01_P000041_C0001_B101_coords.npy
126B,/bulk/rapae/BMED6460/wsi_project/training_data/wsitils/images/126B.tif,10.0,../tiger_titan_embeddings_fused_text/126B.npy,../tiger_titan_embeddings_fused_text/126B_patch_feats.npy,../tiger_titan_embeddings_fused_text/126B_coords.npy
TC_S01_P000155_C0001_B101,/bulk/rapae/BMED6460/wsi_project/training_data/wsitils/images/TC_S01_P000155_C0001_B101.tif,35.0,../tiger_titan_embeddings_fused_text/TC_S01_P000155_C0001_B101.npy,../tiger_titan_embeddings_fused_text/TC_S01_P000155_C0001_B101_patch_feats.npy,../tiger_titan_embeddings_fused_text/TC_S01_P000155_C0001_B101_coords.npy
110S,/bulk/rapae/BMED6460/wsi_project/training_data/wsitils/images/110S.tif,1.0,../tiger_titan_embeddings_fused_text/110S.npy,../tiger_titan_embeddings_fused_text/110S_patch_feats.npy,../tiger_titan_embeddings_fused_text/110S_coords.npy
TC_S01_P000061_C0001_B101,/bulk/rapae/BMED6460/wsi_project/training_data/wsitils/images/TC_S01_P000061_C0001_B101.tif,65.0,../tiger_titan_embeddings_fused_text/TC_S01_P000061_C0001_B101.npy,../tiger_titan_embeddings_fused_text/TC_S01_P000061_C0001_B101_patch_feats.npy,../tiger_titan_embeddings_fused_text/TC_S01_P000061_C0001_B101_coords.npy
244B,/bulk/rapae/BMED6460/wsi_project/training_data/wsitils/images/244B.tif,1.0,../tiger_titan_embeddings_fused_text/244B.npy,../tiger_titan_embeddings_fused_text/244B_patch_feats.npy,../tiger_titan_embeddings_fused_text/244B_coords.npy
TC_S01_P000108_C0001_B101,/bulk/rapae/BMED6460/wsi_project/training_data/wsitils/images/TC_S01_P000108_C0001_B101.tif,25.0,../tiger_titan_embeddings_fused_text/TC_S01_P000108_C0001_B101.npy,../tiger_titan_embeddings_fused_text/TC_S01_P000108_C0001_B101_patch_feats.npy,../tiger_titan_embeddings_fused_text/TC_S01_P000108_C0001_B101_coords.npy
TC_S01_P000047_C0001_B101,/bulk/rapae/BMED6460/wsi_project/training_data/wsitils/images/TC_S01_P000047_C0001_B101.tif,1.0,../tiger_titan_embeddings_fused_text/TC_S01_P000047_C0001_B101.npy,../tiger_titan_embeddings_fused_text/TC_S01_P000047_C0001_B101_patch_feats.npy,../tiger_titan_embeddings_fused_text/TC_S01_P000047_C0001_B101_coords.npy
